signal_score,name,stars,language,category,description,url,last_updated,topics,license,forks,open_issues,readme_snippet
1.3626,Superalgos,5389,JavaScript,trading_core,"Free, open-source crypto trading bot, automated bitcoin / cryptocurrency trading software, algorithmic trading bots. Visually design your crypto trading bot, leveraging an integrated charting system, data-mining, backtesting, paper trading, and multi-server crypto bot deployments.",https://github.com/Superalgos/Superalgos,2026-04-04,"algorithmic-trading, algotrading, bitcoin-trading, bitcoin-trading-bots, crypto, crypto-trading, crypto-trading-bots, crypto-trading-strategies, cryptocurrencies, cryptocurrency, cryptocurrency-trading-bots, free, open-source, quantitative-trading, trading, trading-algorithms, trading-bot, trading-platform, trading-strategies, trading-systems",Apache-2.0,6080,100,
1.2495,hummingbot,17933,Python,trading_core,Open source software that helps you create and deploy high-frequency crypto trading bots,https://github.com/hummingbot/hummingbot,2026-04-04,"algotrading, arbitrage, backtesting, bitcoin, bot, crypto, cryptocurrency, cython, dex, docker, ethereum, hft, marketmaking, orderbook, python, trading",Apache-2.0,4574,363,
1.2097,rqalpha,6278,Python,trading_core,"A extendable, replaceable Python algorithmic backtest && trading framework supporting multiple securities",https://github.com/ricequant/rqalpha,2026-04-03,"backtest, finance, futures, python, quant, ricequant, rqalpha, stock, ta-lib, trading",NOASSERTION,1726,26,
1.2093,quant-trading,9591,Python,trading_core,"Python quantitative trading strategies including VIX Calculator, Pattern Recognition, Commodity Trading Advisor, Monte Carlo, Options Straddle, Shooting Star, London Breakout, Heikin-Ashi, Pair Trading, RSI, Bollinger Bands, Parabolic SAR, Dual Thrust, Awesome, MACD",https://github.com/je-suis-tm/quant-trading,2026-04-03,"algorithmic-trading, bollinger-bands, commodity-trading, macd, momentum-strategy, momentum-trading-strategy, options-strategies, options-trading, pair-trading, quant, quantimental-analysis, quantitative-finance, quantitative-trading, quantitative-trading-strategies, statistical-arbitrage, trading-algorithms, trading-bot, trading-strategies, trading-strategy, trading-systems",Apache-2.0,1757,2,
1.1979,backtesting.py,8152,Python,trading_core,🔎 📈 🐍 💰  Backtest trading strategies in Python.,https://github.com/kernc/backtesting.py,2026-04-03,"algo-trading, algorithmic-trading, backtesting, backtesting-engine, backtesting-frameworks, backtesting-trading-strategies, finance, financial-markets, forex, forex-trading, framework, hacktoberfest, investing, investment, investment-strategies, stocks, trading, trading-algorithms, trading-simulator, trading-strategies",AGPL-3.0,1421,72,
1.1791,freqtrade-bot,563,Python,trading_core,"Freqtrade — Configuration and management tool for the Freqtrade open-source crypto trading bot with strategy backtesting, live/dry-run modes, 10+ exchange support (Binance, Kraken, OKX), hyperparameter optimization, FreqUI dashboard, and Rich terminal menu interface",https://github.com/Kaleighc793/freqtrade-bot,2026-04-03,"algorithmic-trading, backtesting, botbinance, bybit-trading, ccxt, cryptoautomation, cryptobot, dry-run, freqai, freqtrade, futures-trading, machine-learning, okx-trading, open-source-trading, python-trading, spot-trading, telegrambot, trading-cryptobot, trading-strategy, webui",MIT,352,1,
1.1712,Krypto-trading-bot,3679,C++,trading_core,Self-hosted crypto trading bot (automated high frequency market making) written in C++,https://github.com/ctubio/Krypto-trading-bot,2026-04-03,"binance, bitcoin, bitfinex, bitmex, bob-marley, bot-platform, coinbase, cryptocurrency, exchange, hitbtc, kraken, kucoin, market-data, market-maker, skate-or-die, trade, trading, trading-bot, trading-platform, trading-strategies",NOASSERTION,830,64,
1.1709,SGX-Full-OrderBook-Tick-Data-Trading-Strategy,2250,Jupyter Notebook,trading_core,Providing the solutions for high-frequency trading (HFT) strategies using data science approaches (Machine Learning) on Full Orderbook Tick Data.,https://github.com/rorysroes/SGX-Full-OrderBook-Tick-Data-Trading-Strategy,2026-04-03,"algorithmic-trading, backtesting-trading-strategies, feature-engineering, feature-selection, high-frequency-trading, investment, limit-order-book, machine-learning, market-maker, market-making, market-microstructure, model-selection, orderbook, orderbook-tick-data, python, quant, quantitative-trading, trading, trading-strategies",,694,5,
1.1705,hikyuu,3068,C++,trading_core,Hikyuu Quant Framework 基于C++/Python的极速开源量化交易研究框架，同时可基于策略部件进行资产重用，快速累积策略资产。,https://github.com/fasiondog/hikyuu,2026-04-04,"algorithms-trading, backtesting, cpp, finance, fintech, python, quant, stock, system-trading, trading, vestment",Apache-2.0,745,4,
1.17,hftbacktest,3901,Rust,trading_core,"Free, open source, a high frequency trading and market making backtesting and trading bot, which accounts for limit orders, queue positions, and latencies, utilizing full tick data for trades and order books(Level-2 and Level-3), with real-world crypto trading examples for Binance and Bybit",https://github.com/nkaz001/hftbacktest,2026-04-04,"algorithmic-trading, algotrading, backtesting, backtesting-engine, backtesting-trading-strategies, binance, crypto-bot, crypto-trading, hft, high-frequency-trading, limit-order-book, market-maker, market-making, orderbook, orderbook-tick-data, quantitative-trading, trading-algorithms, trading-simulator, trading-strategies, tradingbot",MIT,754,10,
1.1645,Riskfolio-Lib,4020,C++,trading_core,Portfolio Optimization and Quantitative Strategic Asset Allocation in Python,https://github.com/dcajasn/Riskfolio-Lib,2026-04-04,"asset-allocation, convex-optimization, cvar-optimization, cvxpy, drawdown-model, duration-matching, efficient-frontier, finance, investment, investment-analysis, portfolio-management, portfolio-optimization, principal-components-regression, quantitative-finance, risk-contribution, risk-factors, risk-parity, sharpe-ratio, stepwise-regression, trading",BSD-3-Clause,644,0,
1.1561,Stock-Prediction-Models,9279,Jupyter Notebook,trading_ml,Gathers machine learning and deep learning models for Stock forecasting including trading bots and simulations,https://github.com/huseinzol05/Stock-Prediction-Models,2026-04-04,"deep-learning, deep-learning-stock, evolution-strategies, learning-agents, lstm, lstm-sequence, monte-carlo, monte-carlo-markov-chain, seq2seq, stock-market, stock-prediction-models, stock-price-forecasting, stock-price-prediction, strategy-agent, trading-bot",Apache-2.0,3020,47,
1.1491,TradeMaster,2551,Jupyter Notebook,trading_core,TradeMaster is an open-source platform for quantitative trading empowered by reinforcement learning :fire: :zap: :rainbow:,https://github.com/TradeMaster-NTU/TradeMaster,2026-04-03,"finance, fintech, investment-strategies, jupyter-notebook, machine-learning, python, pytorch, quantitative-trading, reinforcement-learning, stock-market, trading-platform",Apache-2.0,493,24,
1.1474,pybroker,3256,Python,trading_core,Algorithmic Trading in Python with Machine Learning,https://github.com/edtechre/pybroker,2026-04-04,"ai, algorithmic-trading, algotrading, artificial-intelligence, backtesting, crypto, cryptocurrency, data-science, finance, framework, investment, machine-learning, python, quantitative-finance, stocks, trading, trading-strategies",NOASSERTION,420,7,
