signal_score,name,stars,language,category,description,url,last_updated,topics,license,forks,open_issues,readme_snippet
1.3627,Superalgos,5391,JavaScript,trading_core,"Free, open-source crypto trading bot, automated bitcoin / cryptocurrency trading software, algorithmic trading bots. Visually design your crypto trading bot, leveraging an integrated charting system, data-mining, backtesting, paper trading, and multi-server crypto bot deployments.",https://github.com/Superalgos/Superalgos,2026-04-05,"algorithmic-trading, algotrading, bitcoin-trading, bitcoin-trading-bots, crypto, crypto-trading, crypto-trading-bots, crypto-trading-strategies, cryptocurrencies, cryptocurrency, cryptocurrency-trading-bots, free, open-source, quantitative-trading, trading, trading-algorithms, trading-bot, trading-platform, trading-strategies, trading-systems",Apache-2.0,6078,99,:small_orange_diamond: Superalgos 1.6.1 !contributors !pull-activity !last-commit !bot-friendliness :small_orange_diamond: Table of Contents Main Topics - Introduction - Before You Begin - Getting Started - Installation Options - Installation for Developers and Contributors - Prerequisites - Superal
1.2495,hummingbot,17948,Python,trading_core,Open source software that helps you create and deploy high-frequency crypto trading bots,https://github.com/hummingbot/hummingbot,2026-04-05,"algotrading, arbitrage, backtesting, bitcoin, bot, crypto, cryptocurrency, cython, dex, docker, ethereum, hft, marketmaking, orderbook, python, trading",Apache-2.0,4574,362,!Hummingbot ---- ![License](https://github.com/hummingbot/hummingbot/blob/master/LICENSE) ![Twitter](https://twitter.com/_hummingbot) ![Youtube](https://www.youtube.com/@hummingbot) ![Discord](https://discord.gg/hummingbot) Hummingbot is an open-source framework that helps you design and deploy auto
1.2097,rqalpha,6279,Python,trading_core,"A extendable, replaceable Python algorithmic backtest && trading framework supporting multiple securities",https://github.com/ricequant/rqalpha,2026-04-05,"backtest, finance, futures, python, quant, ricequant, rqalpha, stock, ta-lib, trading",NOASSERTION,1727,26,======= RQAlpha ======= .. image:: https://raw.githubusercontent.com/ricequant/rq-resource/master/rqalpha/logo.jpg .. image:: https://github.com/ricequant/rqalpha/workflows/Test/badge.svg :target: https://github.com/ricequant/rqalpha/actions?query=workflow%3ATest :alt: GitHub Actions status for mast
1.2093,quant-trading,9596,Python,trading_core,"Python quantitative trading strategies including VIX Calculator, Pattern Recognition, Commodity Trading Advisor, Monte Carlo, Options Straddle, Shooting Star, London Breakout, Heikin-Ashi, Pair Trading, RSI, Bollinger Bands, Parabolic SAR, Dual Thrust, Awesome, MACD",https://github.com/je-suis-tm/quant-trading,2026-04-05,"algorithmic-trading, bollinger-bands, commodity-trading, macd, momentum-strategy, momentum-trading-strategy, options-strategies, options-trading, pair-trading, quant, quantimental-analysis, quantitative-finance, quantitative-trading, quantitative-trading-strategies, statistical-arbitrage, trading-algorithms, trading-bot, trading-strategies, trading-strategy, trading-systems",Apache-2.0,1758,2,"Quant-trading &nbsp; Intro &nbsp; > We’re right 50.75 percent of the time... but we’re 100 percent right 50.75 percent of the time, you can make billions that way. <br><br> > --- Robert Mercer, co-CEO of Renaissance Technologies > If you trade a lot, you only need to be right 51 percent of the time,"
1.1979,backtesting.py,8155,Python,trading_core,🔎 📈 🐍 💰  Backtest trading strategies in Python.,https://github.com/kernc/backtesting.py,2026-04-05,"algo-trading, algorithmic-trading, backtesting, backtesting-engine, backtesting-frameworks, backtesting-trading-strategies, finance, financial-markets, forex, forex-trading, framework, hacktoberfest, investing, investment, investment-strategies, stocks, trading, trading-algorithms, trading-simulator, trading-strategies",AGPL-3.0,1421,72,![](https://kernc.github.io/backtesting.py/) Backtesting.py ============== ![Build Status](https://github.com/kernc/backtesting.py/actions) ![Code Coverage](https://codecov.io/gh/kernc/backtesting.py) ![Source lines of code](https://ghloc.vercel.app/kernc/backtesting.py) ![Backtesting on PyPI](https
1.1786,freqtrade-bot,563,Python,trading_core,"Freqtrade — Configuration and management tool for the Freqtrade open-source crypto trading bot with strategy backtesting, live/dry-run modes, 10+ exchange support (Binance, Kraken, OKX), hyperparameter optimization, FreqUI dashboard, and Rich terminal menu interface",https://github.com/Kaleighc793/freqtrade-bot,2026-04-03,"algorithmic-trading, backtesting, botbinance, bybit-trading, ccxt, cryptoautomation, cryptobot, dry-run, freqai, freqtrade, futures-trading, machine-learning, okx-trading, open-source-trading, python-trading, spot-trading, telegrambot, trading-cryptobot, trading-strategy, webui",MIT,352,1,"freqtrade-bot Freqtrade — Configuration and management tool for the Freqtrade open-source crypto trading bot with strategy backtesting, live/dry-run modes, 10+ exchange support (Binance, Kraken, OKX), hyperparameter optimization, FreqUI dashboard, and Rich terminal menu interface <div align=""center"""
1.171,SGX-Full-OrderBook-Tick-Data-Trading-Strategy,2250,Jupyter Notebook,trading_core,Providing the solutions for high-frequency trading (HFT) strategies using data science approaches (Machine Learning) on Full Orderbook Tick Data.,https://github.com/rorysroes/SGX-Full-OrderBook-Tick-Data-Trading-Strategy,2026-04-04,"algorithmic-trading, backtesting-trading-strategies, feature-engineering, feature-selection, high-frequency-trading, investment, limit-order-book, machine-learning, market-maker, market-making, market-microstructure, model-selection, orderbook, orderbook-tick-data, python, quant, quantitative-trading, trading, trading-strategies",,695,5,"Modeling High-Frequency Limit Order Book Dynamics Using Machine Learning * Framework to capture the dynamics of high-frequency limit order books. <img src=""./Graph/pipline.png"" width=""650""> Overview In this project I used machine learning methods to capture the high-frequency limit order book dynami"
1.1707,Krypto-trading-bot,3679,C++,trading_core,Self-hosted crypto trading bot (automated high frequency market making) written in C++,https://github.com/ctubio/Krypto-trading-bot,2026-04-03,"binance, bitcoin, bitfinex, bitmex, bob-marley, bot-platform, coinbase, cryptocurrency, exchange, hitbtc, kraken, kucoin, market-data, market-maker, skate-or-die, trade, trading, trading-bot, trading-platform, trading-strategies",NOASSERTION,830,64,"<img align=""left"" src=""https://user-images.githubusercontent.com/1634027/36237231-e611590e-11fa-11e8-8486-6675078501dc.jpg"" /><p align=""right"">self reminder:<br><b>patience is the mother of science</b></p><br><a href=""http://ciutatrefugi.barcelona/en/welcome-barcelona"">\*\*\* REFUGEES WELCOME! \*\*\"
1.1704,hikyuu,3068,C++,trading_core,Hikyuu Quant Framework 基于C++/Python的极速开源量化交易研究框架，同时可基于策略部件进行资产重用，快速累积策略资产。,https://github.com/fasiondog/hikyuu,2026-04-04,"algorithms-trading, backtesting, cpp, finance, fintech, python, quant, stock, system-trading, trading, vestment",Apache-2.0,744,4,!title --- !img !img !img !img !img !img Hikyuu Quant Framework是一款基于C++/Python的开源超高速量化交易研究框架，用于策略分析及回测（目前主要用于国内A股市场）。专注于量化交易领域的核心技术构建，涵盖**交易模型开发、极速计算引擎、高效回测框架及实盘拓展能力**。其核心思想基于当前成熟的系统化交易方法，将整个系统化交易抽象为由市场环境判断策略、系统有效条件、信号指示器、止损/止盈策略、资金管理策略、盈利目标策略、移滑价差算法等组件，你可以分别构建这些组件的策略资产库，在实际研究中对它们自由组合来观察系统的有效性、稳定性以及
1.1701,hftbacktest,3903,Rust,trading_core,"Free, open source, a high frequency trading and market making backtesting and trading bot, which accounts for limit orders, queue positions, and latencies, utilizing full tick data for trades and order books(Level-2 and Level-3), with real-world crypto trading examples for Binance and Bybit",https://github.com/nkaz001/hftbacktest,2026-04-05,"algorithmic-trading, algotrading, backtesting, backtesting-engine, backtesting-trading-strategies, binance, crypto-bot, crypto-trading, hft, high-frequency-trading, limit-order-book, market-maker, market-making, orderbook, orderbook-tick-data, quantitative-trading, trading-algorithms, trading-simulator, trading-strategies, tradingbot",MIT,756,10,=========== HftBacktest =========== |codeql| |python| |pypi| |downloads| |rustc| |crates| |license| |docs| |roadmap| |github| High-Frequency Trading Backtesting Tool ======================================= This framework is designed for developing high frequency trading and market making strategies.
