signal_score,name,stars,language,category,description,url,last_updated,topics,license,forks,open_issues,readme_snippet
1.1842,PyPortfolioOpt,5582,Jupyter Notebook,quant_strategies,"Financial portfolio optimisation in python, including classical efficient frontier, Black-Litterman, Hierarchical Risk Parity",https://github.com/PyPortfolio/PyPortfolioOpt,2026-03-25,"algorithmic-trading, covariance, efficient-frontier, finance, financial-analysis, investing, investment, investment-analysis, portfolio-management, portfolio-optimization, python, quantitative-finance",MIT,1099,87,
1.1284,quant-trading,9511,Python,options_futures_trading,"Python quantitative trading strategies including VIX Calculator, Pattern Recognition, Commodity Trading Advisor, Monte Carlo, Options Straddle, Shooting Star, London Breakout, Heikin-Ashi, Pair Trading, RSI, Bollinger Bands, Parabolic SAR, Dual Thrust, Awesome, MACD",https://github.com/je-suis-tm/quant-trading,2026-03-24,"algorithmic-trading, bollinger-bands, commodity-trading, macd, momentum-strategy, momentum-trading-strategy, options-strategies, options-trading, pair-trading, quant, quantimental-analysis, quantitative-finance, quantitative-trading, quantitative-trading-strategies, statistical-arbitrage, trading-algorithms, trading-bot, trading-strategies, trading-strategy, trading-systems",Apache-2.0,1748,2,
1.1089,AlgorithmicTrading,1054,Jupyter Notebook,quant_strategies,"This repository contains three ways to obtain arbitrage which are Dual Listing, Options and Statistical Arbitrage. These are projects in collaboration with Optiver and have been peer-reviewed by staff members of Optiver.",https://github.com/JerBouma/AlgorithmicTrading,2026-03-24,"algorithm, algorithmic-trading, analysis, arbitrage, cointegration, dual-listing, finance, options-arbitrage, optiver, pairs-trading, python, statistical-arbitrage",MIT,197,0,
1.097,trading-backtest,346,Java,quant_strategies,A stock backtesting engine written in Java. And a pairs trading (cointegration) strategy implementation using a bayesian kalman filter model,https://github.com/lukstei/trading-backtest,2026-03-07,"backtest, backtesting-engine, cointegration, cointegration-strategy, finance, java, kalman-filter, pairs-trading, quantitative-finance, quantitative-trading, stock, trading",MIT,139,2,
0.9549,Polymarket-arb-bot,89,Rust,prediction_markets,"Polymarket Arbitrage bot , hight performance, production reqady arbitrage trading system for cross-platform prediction markets. polymarket trading bot, arbitrage bot prediction market ",https://github.com/polymarket-traders/Polymarket-arb-bot,2026-03-25,"arbitrage-bot, poly, polymaket, polymarket-arbitrage-bot, polymarket-arbitrage-trading-bot, polymarket-trading-bot, prediction-market, trading, trading-bot",,6,0,
0.9213,harvest,147,Python,options_futures_trading,"Simple and intuitive Python framework for algorithmic trading. Easily create bots to live and paper trade stocks, crypto, and options!",https://github.com/tfukaza/harvest,2026-03-18,"algorithmic-trading, backtesting, cryptocurrency, options, paper-trading, python, stock, trading, trading-bot",MIT,28,10,
0.9084,pair-trading,60,Python,quant_strategies,Statistical arbitrage of cointegrating currencies with pair trading where the signal for the next day is predicted using LSTM,https://github.com/shimonanarang/pair-trading,2026-03-20,"cointegration, lstm-neural-networks, mean-reversion, pair-trading, pair-trading-strategy",,13,0,
0.9044,huba-v1,196,Python,quant_strategies,Pairs Trading using Statistical Arbitrage,https://github.com/tibkiss/huba-v1,2026-03-09,"algorithmic-trading, quantitative-finance, statistical-arbitrage",AGPL-3.0,23,0,
0.8702,alice-blue-futures,81,Python,options_futures_trading,"Fully automated Algorithmic Trading Bot created with Python for Alice Blue broker. Works on exchanges NSE and MCX for Nifty / Crude / Banknifty futures and options , absolutely FREE",https://github.com/RajeshSivadasan/alice-blue-futures,2026-03-05,,,54,3,
0.8683,HFT-Pairs-Trading,103,Jupyter Notebook,quant_strategies,High Frequency Pairs Trading Based on Statistical Arbitrage (Python) :moneybag:,https://github.com/sapphire921/HFT-Pairs-Trading,2026-03-20,,,28,1,
0.8564,LoopTrader,126,Python,options_futures_trading,An extensible options trading bot built on top of Python.,https://github.com/pattertj/LoopTrader,2026-03-18,"algo, autotrader, bot, options, trading-bot",GPL-3.0,22,8,
0.807,StatArbPairsTrading,69,Jupyter Notebook,quant_strategies,"This repository includes an introduction to statistical arbitrage pairs trading. Specifically, I discuss some of the research methods required in order to find a successful pair as well as the code implementation for a backtest.",https://github.com/sap215/StatArbPairsTrading,2026-03-13,,MIT,6,0,
0.7956,R-in-Finance,52,R,quant_strategies,"This course, taught by Prof.Jerzy in NYU, applies the R programming language to momentum trading, statistical arbitrage (pairs trading), and other active portfolio management strategies. The course implements volatility and price forecasting models, asset pricing and factor models, and portfolio optimization. The course applies machine learning techniques, such as backtesting (cross-validation) and parameter regularization (shrinkage). ",https://github.com/BessieChen/R-in-Finance,2025-12-09,,,17,1,
0.7745,cardiel,84,Python,quant_strategies,A tool for portfolio managers: use the Black-Litterman model to view optimal portfolio allocations using several of the most popular optimization methods.,https://github.com/thk3421-models/cardiel,2025-12-03,,,11,0,
0.7729,theoptionlab,60,HTML,options_futures_trading,The Option Lab is an automated backtesting framework for option trading strategies. The results generated by the code are visualised on our website. ,https://github.com/theoptionlab/theoptionlab,2026-02-01,,GPL-3.0,20,2,
